date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:27:56	35135/35135	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3397-893f%22	https://html.rovadex.com/html-fitmax/index.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/index.html	(from )
13:27:57	50/50	---MCZ	200	added ('OK')	text/plain	date:Sat,%2017%20Feb%202024%2007:57:57%20GMT	https://html.rovadex.com/robots.txt		(from )
13:27:57	7119/7119	---M--	200	added ('OK')	image/png	etag:%225e7e33b1-1bcf%22	https://html.rovadex.com/html-fitmax/assets/img/favicon.png	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/favicon.png	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:58	1238/1238	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e339c-4d6%22	https://html.rovadex.com/html-fitmax/assets/css/slick.min.css	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/css/slick.min.css	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:58	64623/64623	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e339a-fc6f%22	https://html.rovadex.com/html-fitmax/assets/css/bootstrap-grid.css	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/css/bootstrap-grid.css	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:58	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e339b-7918%22	https://html.rovadex.com/html-fitmax/assets/css/font-awesome.min.css	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/css/font-awesome.min.css	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:59	116762/116762	---MCZ	200	added ('OK')	text/css	etag:W/%225e7e339d-1c81a%22	https://html.rovadex.com/html-fitmax/assets/css/style.css	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/css/style.css	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:59	3166/3166	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e33c9-c5e%22	https://html.rovadex.com/html-fitmax/assets/img/logo.svg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/logo.svg	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:59	28289/28289	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3397-6e81%22	https://html.rovadex.com/html-fitmax/home-fitness.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/home-fitness.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:27:59	28428/28428	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3396-6f0c%22	https://html.rovadex.com/html-fitmax/home-crossfit-lite.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/home-crossfit-lite.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:00	22590/22590	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3395-583e%22	https://html.rovadex.com/html-fitmax/about.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/about.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:00	18203/18203	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3398-471b%22	https://html.rovadex.com/html-fitmax/services.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/services.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:00	19372/19372	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3398-4bac%22	https://html.rovadex.com/html-fitmax/program.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/program.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:00	18179/18179	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3399-4703%22	https://html.rovadex.com/html-fitmax/trainer.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/trainer.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:00	16688/16688	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3395-4130%22	https://html.rovadex.com/html-fitmax/blog.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/blog.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:01	10562/10562	---MCZ	200	added ('OK')	text/html	etag:W/%225e7e3396-2942%22	https://html.rovadex.com/html-fitmax/contacts.html	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/contacts.html	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:01	1040/1040	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e33b0-410%22	https://html.rovadex.com/html-fitmax/assets/img/effect-1.svg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/effect-1.svg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:01	4454/4454	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e33b0-1166%22	https://html.rovadex.com/html-fitmax/assets/img/effect-2.svg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/effect-2.svg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:02	48021/48021	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33d4-bb95%22	https://html.rovadex.com/html-fitmax/assets/img/slide-2.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/slide-2.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:02	242786/242786	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33d3-3b462%22	https://html.rovadex.com/html-fitmax/assets/img/slide-1.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/slide-1.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:03	94493/94493	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33d4-1711d%22	https://html.rovadex.com/html-fitmax/assets/img/slide-3.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/slide-3.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:03	1696/1696	---M--	200	added ('OK')	image/png	etag:%225e7e33cd-6a0%22	https://html.rovadex.com/html-fitmax/assets/img/placeholder-all.png	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/placeholder-all.png	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:04	3359/3359	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e7e33a9-d1f%22	https://html.rovadex.com/html-fitmax/assets/img/bg-programs.svg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/bg-programs.svg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:04	34073/34073	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33cd-8519%22	https://html.rovadex.com/html-fitmax/assets/img/programs-1.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/programs-1.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:04	186639/186639	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33a9-2d90f%22	https://html.rovadex.com/html-fitmax/assets/img/bg-programs.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/bg-programs.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:05	17715/17715	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33ce-4533%22	https://html.rovadex.com/html-fitmax/assets/img/programs-2.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/programs-2.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:05	36586/36586	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33ce-8eea%22	https://html.rovadex.com/html-fitmax/assets/img/programs-3.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/programs-3.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
13:28:06	28514/28514	---M--	200	added ('OK')	image/jpeg	etag:%225e7e33cf-6f62%22	https://html.rovadex.com/html-fitmax/assets/img/programs-4.jpg	C:/Users/mitta/Downloads/NMIMS_HEALTH_APP/html.rovadex.com/html-fitmax/assets/img/programs-4.jpg	(from https://html.rovadex.com/html-fitmax/index.html)
